线路,站点名称
3号线,江杨北路
3号线,铁力路
3号线,友谊路
3号线,宝杨路
3号线,水产路
3号线,淞滨路
3号线,张华浜
3号线,淞发路
3号线,长江南路
3号线,殷高西路
3号线,江湾镇
3号线,大柏树
3号线,赤峰路
3号线,虹口足球场
3号线,东宝兴路
3号线,宝山路
3号线,上海火车站
3号线,中潭路
3号线,镇坪路
3号线,曹杨路
3号线,金沙江路
3号线,中山公园
3号线,延安西路
3号线,虹桥路
3号线,宜山路
3号线,漕溪路
3号线,龙漕路
3号线,石龙路
3号线,上海南站
4号线,宜山路
4号线,上海体育馆
4号线,上海体育场
4号线,东安路
4号线,大木桥路
4号线,鲁班路
4号线,西藏南路
4号线,南浦大桥
4号线,塘桥
4号线,蓝村路
4号线,向城路
4号线,世纪大道
4号线,浦东大道
4号线,杨树浦路
4号线,大连路
4号线,临平路
4号线,海伦路
4号线,宝山路
4号线,上海火车站
4号线,中潭路
4号线,镇坪路
4号线,曹杨路
4号线,金沙江路
4号线,中山公园
4号线,延安西路
4号线,虹桥路
7号线,美兰湖
7号线,罗南新村
7号线,潘广路
7号线,刘行
7号线,顾村公园
7号线,祁华路
7号线,上海大学
7号线,南陈路
7号线,上大路
7号线,场中路
7号线,大场镇
7号线,行知路
7号线,大华三路
7号线,新村路
7号线,岚皋路
7号线,镇坪路
7号线,长寿路
7号线,昌平路
7号线,静安寺
7号线,常熟路
7号线,肇嘉浜路
7号线,东安路
7号线,龙华中路
7号线,后滩
7号线,长清路
7号线,耀华路
7号线,云台路
7号线,高科西路
7号线,杨高南路
7号线,锦绣路
7号线,芳华路
7号线,龙阳路
7号线,花木路
15号线,紫竹高新区
15号线,永德路
15号线,元江路
15号线,双柏路
15号线,曙建路
15号线,景西路
15号线,虹梅南路
15号线,景洪路
15号线,朱梅路
15号线,罗秀路
15号线,华东理工大学
15号线,上海南站
15号线,桂林公园
15号线,桂林路
15号线,吴中路
15号线,姚虹路
15号线,红宝石路
15号线,娄山关路
15号线,长风公园
15号线,大渡河路
15号线,梅岭北路
15号线,铜川路
15号线,上海西站
15号线,武威东路
15号线,古浪路
15号线,祁安路
15号线,南大路
15号线,丰翔路
15号线,锦秋路
15号线,顾村公园
